Material,SALDO,C Promedio S/.,COSTO,C Promedio US$,PRECIO PUBLICO
"ABRAZADERA P/MANGUERA SIN FIN 1""                                                                    ",-2,0.00,S/ 0.00,0.00,
"ABRAZADERA P/MANGUERA SIN FIN 2""                                                                    ",-3,0.00,S/ 0.00,0.00,
"ABRAZADERA P/MANGUERA SIN FIN 3/4""                                                                  ",190,0.21,S/ 0.25,0.07,
"ABRAZADERA P/MANGUERA SIN FIN 5/8""                                                                  ",190,0.19,S/ 0.22,0.06,
"ABRAZADERA P/TUBO AGUA 1"" - 1 OREJAS                                                                ",83,0.10,S/ 0.12,0.03,
"ABRAZADERA P/TUBO AGUA 1"" - 2 OREJAS                                                                ",100,0.11,S/ 0.48,0.03,S/ 1.50
"ABRAZADERA P/TUBO AGUA 1""1/4 - 2 OREJAS                                                                ",,,S/ 0.68,,
"ABRAZADERA P/TUBO AGUA 1/2"" - 2 OREJAS                                                              ",-1,0.25,S/ 0.18,0.08,
"ABRAZADERA P/TUBO AGUA 2"" - 2 OREJAS                                                                ",192,0.58,S/ 0.72,0.18,
"ABRAZADERA P/TUBO AGUA 3"" - 2 OREJAS                                                                ",100,1.14,S/ 1.04,0.36,S/ 2.50
"ABRAZADERA P/TUBO AGUA 3/4"" - 1 OREJAS                                                              ",100,0.09,S/ 0.11,0.03,
"ABRAZADERA P/TUBO AGUA 3/4"" - 2 OREJAS                                                              ",198,0.09,S/ 0.23,0.03,
"ABRAZADERA P/TUBO LUZ 3/4"" - 2 OREJAS                                                               ",100,0.14,S/ 0.17,0.05,
"ACCESORIO PARA TANQUE INODORO 5/8"" SANI                                                             ",2,4.24,S/ 15.50,1.35,S/ 24.00
"ACCESORIO PARA TANQUE INODORO 7/8"" SANI                                                             ",8,10.23,S/ 15.50,3.25,S/ 24.00
ACEITE LUBRICATODO 3 EN 1 CHICO                                                                     ,12,0.57,S/ 0.80,0.18,S/ 3.50
ACEITE LUBRICATODO 3 EN 1 GRANDE                                                                    ,,,S/ 1.30,,S/ 6.00
ACEITE LUBRICATODO 30ML. 3 EN 1                                                                     ,15,2.65,S/ 3.13,0.84,
ACEITERA MANUAL 300CC                                                                               ,3,6.27,S/ 7.40,1.99,
ACIDO DOMESTICO GLN                                                                                 ,31,7.63,S/ 9.00,1.93,
ACIDO DOMESTICO LT.                                                                                 ,83,2.97,S/ 3.50,0.94,
ACIDO EXTRAFORTE MURIADER 1 GLN. DERQUSA                                                            ,-2,0.00,S/ 13.00,0.00,S/ 18.00
ACIDO EXTRAFORTE MURIADER 1 LT. DERQUSA                                                             ,152,3.59,S/ 4.50,0.91,S/ 7.00
ACONDICIONADOR DE METAL 1 GLN. TAMSA                                                                ,-1,0.00,S/ 42.50,0.00,S/ 48.00
ACONDICIONADOR DE METALES 1 GLN. LOSARO                                                             ,16,18.54,S/ 38.00,5.89,S/ 45.00
ACONDICIONADOR DE METALES 1 GLN. MARTELL                                                            ,18,20.46,S/ 32.00,6.50,S/ 40.00
ACONDICIONADOR DE METALES 1 LT. DERQUSA                                                             ,24,7.63,S/ 10.00,2.42,S/ 16.00
ACONDICIONADOR DE METALES 1 LT. MARTELL                                                             ,77,7.56,S/ 11.50,1.92,S/ 16.00
ACONDICIONADOR DE METALES LT. LOSARO                                                                ,9,7.25,S/ 12.00,1.83,S/ 16.00
"ADAPTADOR 1 1/2"" S/R AGUA                                                                           ",-1,0.00,S/ 0.00,0.00,
"ADAPTADOR 1 1/4"" C/R AGUA PLASTICA                                                                  ",-5,0.00,S/ 0.00,0.00,
"ADAPTADOR 1"" C/R AGUA PAVCO                                                                         ",98,2.03,S/ 2.40,0.65,S/ 5.00
"ADAPTADOR 1"" C/R AGUA PLASTICA                                                                      ",-33,0.00,S/ 2.00,0.00,S/ 3.00
"ADAPTADOR 1/2"" BRONCE GROSSO                                                                        ",-7,0.00,S/ 4.50,0.00,
"ADAPTADOR 1/2"" C/R AGUA                                                                             ",-3,0.34,S/ 0.80,0.11,S/ 2.00
"ADAPTADOR 1/2"" C/R AGUA NICOLL                                                                     ",,,S/ 0.90,,S/ 2.50
"ADAPTADOR 1/2"" C/R AGUA PAVCO                                                                       ",104,0.76,S/ 0.90,0.19,S/ 2.50
"ADAPTADOR 1/2"" C/R AGUA PLASTICA                                                                    ",-2,0.00,S/ 0.00,0.00,S/ 2.00
"ADAPTADOR 1/2"" CPVC PAVCO                                                                           ",107,0.94,S/ 1.11,0.24,S/ 2.50
"ADAPTADOR 2"" C/R AGUA PLASTICA                                                                      ",-7,0.00,S/ 3.00,0.00,
"ADAPTADOR 3/4"" C/R AGUA                                                                        ",,,S/ 1.50,,S/ 2.50
"ADAPTADOR 3/4"" C/R AGUA PAVCO                                                                       ",142,1.25,S/ 1.80,0.40,S/ 4.00
"ADAPTADOR 3/4"" C/R AGUA PLASTICA                                                                    ",4,0.38,S/ 0.78,0.12,S/ 3.00
"ADAPTADOR BUSHI 1/2"" - 1 1/2"" BRONCE                                                                ",12,3.81,S/ 4.50,0.97,
"ADAPTADOR BUSHING 1/2"" - 1/2"" F/GALVANIZADO                                                         ",-1,0.00,S/ 0.00,0.00,
ADAPTADOR BUSHING 1-3/4,,,S/ 1.60,,
ADAPTADOR DE ENCHUFE,,,S/ 2.50,,S/ 4.00
ADAPTADOR DE TANQUE 1 1/2X2,,,S/ 2.70,,
ADAPTADOR DE TANQUE 2X2,,,S/ 2.80,,
AFRICANO 1/32 GLN                                                                                   ,19,3.02,S/ 4.00,0.77,S/ 6.00
AFRICANO 1/4 GLN                                                                                    ,5,6.78,S/ 8.00,2.15,
AFRICANO 1/64 GLN                                                                                   ,,,S/ 1.50,,
AGUARRAZ MINERAL 1 GLN. DERQUSA                                                                     ,1,11.02,S/ 13.00,3.50,
AGUARRAZ MINERAL 1 GLN. LOSARO                                                                      ,7,12.11,S/ 18.80,3.84,S/ 25.00
AGUARRAZ MINERAL 1 GLN. MARTELL                                                                     ,15,13.23,S/ 18.90,4.20,
AGUARRAZ MINERAL 900 ML MARTELL                                                                     ,8,4.66,S/ 5.50,1.48,
AGUARRAZ MINERAL LT LOSARO                                                                          ,11,3.47,S/ 5.70,1.10,S/ 9.00
AGUJARRIERO,,,S/ 0.63,,S/ 1.00
ALAMBRE ALBAÑIL RECOCIDO NRO 08                                                                ,,,S/ 5.00,,
ALAMBRE ALBAÑIL RECOCIDO NRO 16                                                                     ,-22,3.89,S/ 5.00,1.23,
ALAMBRE DE PUAS X ROLLO                                                                             ,-2,50.85,S/ 65.00,16.15,
ALAMBRE GALVANIZADO NRO 08 PRODAC                                                                   ,44,7.63,S/ 9.00,2.42,S/ 12.50
ALAMBRE GALVANIZADO NRO 10 PRODAC                                                                   ,50,7.63,S/ 9.00,2.42,S/ 12.55
