"id","nombre_producto","fecha_creacion","fecha_actualizacion_producto","precio_costo_producto","precio_venta_producto","stock"
1,"ABRAZADERA P/MANGUERA SIN FIN 1""","2022-07-21 15:40:19.639662","2022-07-21 15:40:19.639669","0","0","0"
2,"ABRAZADERA P/MANGUERA SIN FIN 2""","2022-07-21 15:40:19.647083","2022-07-21 15:40:19.647088","0","0","0"
4,"ABRAZADERA P/MANGUERA SIN FIN 5/8""","2022-07-21 15:40:19.654494","2022-07-21 15:40:19.654498","0.22","0","0"
5,"ABRAZADERA P/TUBO AGUA 1"" - 1 OREJAS","2022-07-21 15:40:19.657842","2022-07-21 15:40:19.657847","0.12","0","0"
6,"ABRAZADERA P/TUBO AGUA 1"" - 2 OREJAS","2022-07-21 15:40:19.661274","2022-07-21 15:40:19.661278","0.48","1.5","0"
7,"ABRAZADERA P/TUBO AGUA 1""1/4 - 2 OREJAS","2022-07-21 15:40:19.664529","2022-07-21 15:40:19.664533","0.68","0","0"
9,"ABRAZADERA P/TUBO AGUA 2"" - 2 OREJAS","2022-07-21 15:40:19.672412","2022-07-21 15:40:19.672416","0.72","0","0"
10,"ABRAZADERA P/TUBO AGUA 3"" - 2 OREJAS","2022-07-21 15:40:19.675621","2022-07-21 15:40:19.675625","1.04","2.5","0"
11,"ABRAZADERA P/TUBO AGUA 3/4"" - 1 OREJAS","2022-07-21 15:40:19.678849","2022-07-21 15:40:19.678853","0.11","0","0"
12,"ABRAZADERA P/TUBO AGUA 3/4"" - 2 OREJAS","2022-07-21 15:40:19.682131","2022-07-21 15:40:19.682135","0.23","0","0"
16,"ACEITE LUBRICATODO 3 EN 1 CHICO","2022-07-21 15:40:19.695473","2022-07-21 15:40:19.695477","0.8","3.5","0"
17,"ACEITE LUBRICATODO 3 EN 1 GRANDE","2022-07-21 15:40:19.698935","2022-07-21 15:40:19.698939","1.3","6","0"
18,"ACEITE LUBRICATODO 30ML. 3 EN 1","2022-07-21 15:40:19.703248","2022-07-21 15:40:19.703252","3.13","0","0"
19,"ACEITERA MANUAL 300CC","2022-07-21 15:40:19.706666","2022-07-21 15:40:19.70667","7.4","0","0"
20,"ACIDO DOMESTICO GLN","2022-07-21 15:40:19.709835","2022-07-21 15:40:19.709839","9","0","0"
21,"ACIDO DOMESTICO LT.","2022-07-21 15:40:19.713089","2022-07-21 15:40:19.713093","3.5","0","0"
22,"ACIDO EXTRAFORTE MURIADER 1 GLN. DERQUSA","2022-07-21 15:40:19.716877","2022-07-21 15:40:19.716881","13","18","0"
24,"ACONDICIONADOR DE METAL 1 GLN. TAMSA","2022-07-21 15:40:19.723325","2022-07-21 15:40:19.723329","42.5","48","0"
25,"ACONDICIONADOR DE METALES 1 GLN. LOSARO","2022-07-21 15:40:19.727281","2022-07-21 15:40:19.727285","38","45","0"
